INFO: 2023-09-14 10:58:29,459 | FILE: main.py:81 | MESSAGE: Order created with 0 on ETH at 2023-09-14 10:58:29.459911
INFO: 2023-09-14 10:58:30,469 | FILE: main.py:67 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 10:58:30,469 | FILE: main.py:81 | MESSAGE: Order created with 3 on DOT at 2023-09-14 10:58:30.469706
INFO: 2023-09-14 10:58:31,509 | FILE: main.py:67 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 10:58:31,509 | FILE: main.py:81 | MESSAGE: Order created with 0 on SOL at 2023-09-14 10:58:31.509897
INFO: 2023-09-14 10:58:33,230 | FILE: main.py:67 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 10:58:33,230 | FILE: main.py:81 | MESSAGE: Order created with 126 on XLM at 2023-09-14 10:58:33.230247
INFO: 2023-09-14 10:58:33,232 | FILE: main.py:85 | MESSAGE: DCA complete, bought ['BTC', 'ETH', 'DOT', 'SOL', 'XLM']. Waiting 7 days.
ERROR: 2023-09-14 10:58:36,118 | FILE: email_service.py:25 | MESSAGE: (535, b'5.7.8 Username and Password not accepted. Learn more at\n5.7.8  https://support.google.com/mail/?p=BadCredentials a5-20020a655c85000000b00577af6f8090sm324899pgt.86 - gsmtp')
INFO: 2023-09-14 11:08:19,187 | FILE: main.py:125 | MESSAGE: working...
INFO: 2023-09-14 11:08:20,179 | FILE: main.py:69 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 11:08:20,179 | FILE: main.py:83 | MESSAGE: Order created with 0 on BTC at 2023-09-14 11:08:20.179533
INFO: 2023-09-14 11:08:21,213 | FILE: main.py:69 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 11:08:21,213 | FILE: main.py:83 | MESSAGE: Order created with 0 on ETH at 2023-09-14 11:08:21.213601
INFO: 2023-09-14 11:08:21,802 | FILE: main.py:69 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 11:08:21,802 | FILE: main.py:83 | MESSAGE: Order created with 3 on DOT at 2023-09-14 11:08:21.802326
INFO: 2023-09-14 11:08:22,799 | FILE: main.py:69 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 11:08:22,800 | FILE: main.py:83 | MESSAGE: Order created with 0 on SOL at 2023-09-14 11:08:22.799232
INFO: 2023-09-14 11:08:24,132 | FILE: main.py:69 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 11:08:24,132 | FILE: main.py:83 | MESSAGE: Order created with 126 on XLM at 2023-09-14 11:08:24.132757
INFO: 2023-09-14 11:08:24,135 | FILE: main.py:87 | MESSAGE: DCA complete, bought ['BTC', 'ETH', 'DOT', 'SOL', 'XLM']. Waiting 7 days.
ERROR: 2023-09-14 11:08:27,914 | FILE: email_service.py:25 | MESSAGE: (535, b'5.7.8 Username and Password not accepted. Learn more at\n5.7.8  https://support.google.com/mail/?p=BadCredentials g8-20020a17090ace8800b0026b76edd607sm519967pju.15 - gsmtp')
INFO: 2023-09-14 11:11:03,452 | FILE: main.py:125 | MESSAGE: working...
INFO: 2023-09-14 11:11:04,050 | FILE: main.py:69 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 11:11:04,050 | FILE: main.py:83 | MESSAGE: Order created with 0 on BTC at 2023-09-14 11:11:04.050093
INFO: 2023-09-14 11:11:04,802 | FILE: main.py:69 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 11:11:04,802 | FILE: main.py:83 | MESSAGE: Order created with 0 on ETH at 2023-09-14 11:11:04.802283
INFO: 2023-09-14 11:11:05,388 | FILE: main.py:69 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 11:11:05,389 | FILE: main.py:83 | MESSAGE: Order created with 3 on DOT at 2023-09-14 11:11:05.389493
INFO: 2023-09-14 11:11:06,373 | FILE: main.py:69 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 11:11:06,373 | FILE: main.py:83 | MESSAGE: Order created with 0 on SOL at 2023-09-14 11:11:06.373773
INFO: 2023-09-14 11:11:07,681 | FILE: main.py:69 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 11:11:07,681 | FILE: main.py:83 | MESSAGE: Order created with 126 on XLM at 2023-09-14 11:11:07.681457
INFO: 2023-09-14 11:11:07,681 | FILE: main.py:87 | MESSAGE: DCA complete, bought ['BTC', 'ETH', 'DOT', 'SOL', 'XLM']. Waiting 7 days.
ERROR: 2023-09-14 11:11:10,470 | FILE: email_service.py:25 | MESSAGE: (535, b'5.7.8 Username and Password not accepted. Learn more at\n5.7.8  https://support.google.com/mail/?p=BadCredentials x1-20020a170902ec8100b001b8b45b177esm582279plg.274 - gsmtp')
INFO: 2023-09-14 11:13:00,616 | FILE: main.py:125 | MESSAGE: working...
INFO: 2023-09-14 11:13:01,114 | FILE: main.py:69 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 11:13:01,114 | FILE: main.py:83 | MESSAGE: Order created with 0 on BTC at 2023-09-14 11:13:01.114326
INFO: 2023-09-14 11:13:02,580 | FILE: main.py:69 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 11:13:02,580 | FILE: main.py:83 | MESSAGE: Order created with 0 on ETH at 2023-09-14 11:13:02.580578
INFO: 2023-09-14 11:13:03,566 | FILE: main.py:69 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 11:13:03,566 | FILE: main.py:83 | MESSAGE: Order created with 3 on DOT at 2023-09-14 11:13:03.566386
INFO: 2023-09-14 11:13:04,547 | FILE: main.py:69 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 11:13:04,547 | FILE: main.py:83 | MESSAGE: Order created with 0 on SOL at 2023-09-14 11:13:04.547866
INFO: 2023-09-14 11:13:05,838 | FILE: main.py:69 | MESSAGE: PLACING TEST ORDER
INFO: 2023-09-14 11:13:05,838 | FILE: main.py:83 | MESSAGE: Order created with 126 on XLM at 2023-09-14 11:13:05.838856
INFO: 2023-09-14 11:13:05,838 | FILE: main.py:87 | MESSAGE: DCA complete, bought ['BTC', 'ETH', 'DOT', 'SOL', 'XLM']. Waiting 7 days.
